Date,Day,Theme,Passage
2026-05-02,Saturday,The True Shepherd,Acts 20:17-38
2026-05-03,Sunday,Staying Close to God,Psalm 34
2026-05-04,Monday,Staying Close to God,Psalm 18:1-19
2026-05-05,Tuesday,Staying Close to God,Matthew 7:21-28
2026-05-06,Wednesday,Staying Close to God,Mark 12:28-34
2026-05-07,Thursday,Staying Close to God,James 1:19-26
2026-05-08,Friday,Staying Close to God,Colossians 1:15-29
2026-05-09,Saturday,Staying Close to God,Ephesians 3:14-21
2026-05-10,Sunday,Love One Another,Psalm 128
2026-05-11,Monday,Love One Another,Romans 12:9-21
2026-05-12,Tuesday,Love One Another,Colossians 3:12-17
2026-05-13,Wednesday,Love One Another,Galatians 5:1-15
2026-05-14,Thursday,Love One Another,1 John 2:7-17
2026-05-15,Friday,Love One Another,1 John 3:1-18
2026-05-16,Saturday,Love One Another,1 John 4:7-21
2026-05-17,Sunday,That All May Be One,Psalm 133
2026-05-18,Monday,That All May Be One,1 Peter 1:13-25
2026-05-19,Tuesday,That All May Be One,Titus 3:1-11
2026-05-20,Wednesday,That All May Be One,Philemon 1-25
2026-05-21,Thursday,That All May Be One,Hebrews 13:1-25
2026-05-22,Friday,That All May Be One,2 Timothy 1:1-14
2026-05-23,Saturday,That All May Be One,1 Thessalonians 1:2-10
2026-05-24,Sunday,Life in the Spirit,Psalm 104
2026-05-25,Monday,Life in the Spirit,Ephesians 4:17-32
2026-05-26,Tuesday,Life in the Spirit,Ephesians 3:14-21
2026-05-27,Wednesday,Life in the Spirit,Ezekiel 39:21-29
2026-05-28,Thursday,Life in the Spirit,2 Corinthians 1:3-11
2026-05-29,Friday,Life in the Spirit,2 Corinthians 8:1-15
2026-05-30,Saturday,Life in the Spirit,1 Corinthians 13:1-13
2026-05-31,Sunday,God in Three Persons,Psalm 80
2026-06-01,Monday,God in Three Persons,Deuteronomy 6:4-25
2026-06-02,Tuesday,God in Three Persons,John 5:19-29
2026-06-03,Wednesday,God in Three Persons,1 Corinthians 12:1-13
2026-06-04,Thursday,God in Three Persons,Ephesians 1:1-14
2026-06-05,Friday,God in Three Persons,Colossians 1:1-14
2026-06-06,Saturday,God in Three Persons,John 16:1-11
2026-06-07,Sunday,Christ's True Family,Psalm 40
2026-06-08,Monday,Christ's True Family,Hosea 6:1-6
2026-06-09,Tuesday,Christ's True Family,Hosea 11:1-9
2026-06-10,Wednesday,Christ's True Family,Matthew 13:53-58
2026-06-11,Thursday,Christ's True Family,Matthew 21:12-17
2026-06-12,Friday,Christ's True Family,John 17:20-26
2026-06-13,Saturday,Christ's True Family,Matthew 12:46-50
2026-06-14,Sunday,Signs of God's Kingdom,Psalm 84
2026-06-15,Monday,Signs of God's Kingdom,Matthew 3:1-10
2026-06-16,Tuesday,Signs of God's Kingdom,Matthew 18:21-35
2026-06-17,Wednesday,Signs of God's Kingdom,Matthew 20:1-16
2026-06-18,Thursday,Signs of God's Kingdom,Matthew 20:20-28
2026-06-19,Friday,Signs of God's Kingdom,Luke 9:46-62
2026-06-20,Saturday,Signs of God's Kingdom,Acts 7:54-8:8
2026-06-21,Sunday,God Calls & Provides,Psalm 8
2026-06-22,Monday,God Calls & Provides,1 Corinthians 2:1-13
2026-06-23,Tuesday,God Calls & Provides,Matthew 9:35-10:15
2026-06-24,Wednesday,God Calls & Provides,Matthew 10:16-23
2026-06-25,Thursday,God Calls & Provides,Matthew 10:24-33
2026-06-26,Friday,God Calls & Provides,Matthew 10:34-42
2026-06-27,Saturday,God Calls & Provides,John 21:15-23
2026-06-28,Sunday,Consequences of Following Jesus,Psalm 28
2026-06-29,Monday,Consequences of Following Jesus,Matthew 12:46-50
2026-06-30,Tuesday,Consequences of Following Jesus,Luke 14:25-33
2026-07-01,Wednesday,Consequences of Following Jesus,Luke 22:24-30
2026-07-02,Thursday,Consequences of Following Jesus,Luke 9:57-62
2026-07-03,Friday,Consequences of Following Jesus,Joshua 24:16-28
2026-07-04,Saturday,Consequences of Following Jesus,Romans 14:13-23
2026-07-05,Sunday,A Disciple's Mission & Reward,Psalm 35
2026-07-06,Monday,A Disciple's Mission & Reward,Matthew 10:1-15
2026-07-07,Tuesday,A Disciple's Mission & Reward,Romans 1:1-7
2026-07-08,Wednesday,A Disciple's Mission & Reward,John 1:6-13
2026-07-09,Thursday,A Disciple's Mission & Reward,Colossians 1:9-23
2026-07-10,Friday,A Disciple's Mission & Reward,Colossians 1:24-29
2026-07-11,Saturday,A Disciple's Mission & Reward,1 Peter 1:1-9
2026-07-12,Sunday,God's Plan for the Church,Psalm 46
2026-07-13,Monday,God's Plan for the Church,Isaiah 55:1-13
2026-07-14,Tuesday,God's Plan for the Church,Isaiah 1:10-17
2026-07-15,Wednesday,God's Plan for the Church,Isaiah 1:21-26
2026-07-16,Thursday,God's Plan for the Church,Romans 15:1-13
2026-07-17,Friday,God's Plan for the Church,Ephesians 4:1-16
2026-07-18,Saturday,God's Plan for the Church,John 17:20-26
2026-07-19,Sunday,Listening & Obeying,Psalm 62
2026-07-20,Monday,Listening & Obeying,Mark 9:1-8
2026-07-21,Tuesday,Listening & Obeying,James 1:19-27
2026-07-22,Wednesday,Listening & Obeying,James 4:1-10
2026-07-23,Thursday,Listening & Obeying,Romans 6:15-23
2026-07-24,Friday,Listening & Obeying,Philippians 2:12-18
2026-07-25,Saturday,Listening & Obeying,John 14:15-24
2026-07-26,Sunday,God's Ability to Provide,Psalm 63
2026-07-27,Monday,God's Ability to Provide,Genesis 22:1-14
2026-07-28,Tuesday,God's Ability to Provide,1 Timothy 6:11-19
2026-07-29,Wednesday,God's Ability to Provide,Psalm 68:1-10
2026-07-30,Thursday,God's Ability to Provide,John 10:1-18
2026-07-31,Friday,God's Ability to Provide,Matthew 7:1-12
2026-08-01,Saturday,God's Ability to Provide,1 Peter 5:1-11
2026-08-02,Sunday,Establishing the Right Priorities,Psalm 73
2026-08-03,Monday,Establishing the Right Priorities,Luke 10:38-42
2026-08-04,Tuesday,Establishing the Right Priorities,Romans 8:18-25
2026-08-05,Wednesday,Establishing the Right Priorities,2 Corinthians 6:1-13
2026-08-06,Thursday,Establishing the Right Priorities,Revelation 19:1-8
2026-08-07,Friday,Establishing the Right Priorities,Hebrews 10:19-39
2026-08-08,Saturday,Establishing the Right Priorities,Colossians 3:5-17
2026-08-09,Sunday,Facing Life's Uncertainties,Psalm 127
2026-08-10,Monday,Facing Life's Uncertainties,Isaiah 54:9-17
2026-08-11,Tuesday,Facing Life's Uncertainties,Hebrews 10:1-10
2026-08-12,Wednesday,Facing Life's Uncertainties,2 Peter 1:1-11
2026-08-13,Thursday,Facing Life's Uncertainties,1 Peter 3:13-22
2026-08-14,Friday,Facing Life's Uncertainties,1 Peter 4:12-19
2026-08-15,Saturday,Facing Life's Uncertainties,John 17:1-19
2026-08-16,Sunday,The Mystery of God's Gifts,Psalm 145
2026-08-17,Monday,The Mystery of God's Gifts,Matthew 8:1-4
2026-08-18,Tuesday,The Mystery of God's Gifts,Matthew 8:5-13
2026-08-19,Wednesday,The Mystery of God's Gifts,Matthew 8:14-17
2026-08-20,Thursday,The Mystery of God's Gifts,Matthew 9:18-26
2026-08-21,Friday,The Mystery of God's Gifts,Matthew 9:27-34
2026-08-22,Saturday,The Mystery of God's Gifts,Mark 10:46-52
2026-08-23,Sunday,The Centrality of Christ,Psalm 18:1-19
2026-08-24,Monday,The Centrality of Christ,John 1:19-28
2026-08-25,Tuesday,The Centrality of Christ,John 14:1-11
2026-08-26,Wednesday,The Centrality of Christ,Colossians 1:15-23
2026-08-27,Thursday,The Centrality of Christ,John 6:66-71
2026-08-28,Friday,The Centrality of Christ,John 12:20-36
2026-08-29,Saturday,The Centrality of Christ,John 11:1-16
2026-08-30,Sunday,True Discipleship,Psalm 1
2026-08-31,Monday,True Discipleship,Philippians 2:1-8
2026-09-01,Tuesday,True Discipleship,Galatians 5:16-24
2026-09-02,Wednesday,True Discipleship,Matthew 5:1-11
2026-09-03,Thursday,True Discipleship,Matthew 5:12-16
2026-09-04,Friday,True Discipleship,Matthew 7:21-28
2026-09-05,Saturday,True Discipleship,Matthew 5:43-48
2026-09-06,Sunday,Reconciliation,Psalm 130
2026-09-07,Monday,Reconciliation,2 Corinthians 5:16-21
2026-09-08,Tuesday,Reconciliation,Romans 5:1-11
2026-09-09,Wednesday,Reconciliation,2 Corinthians 13:1-12
2026-09-10,Thursday,Reconciliation,Acts 10:34-43
2026-09-11,Friday,Reconciliation,Luke 6:37-42
2026-09-12,Saturday,Reconciliation,Luke 17:1-6
2026-09-13,Sunday,God's Unlimited Grace,Psalm 141
2026-09-14,Monday,God's Unlimited Grace,Colossians 2:8-15
2026-09-15,Tuesday,God's Unlimited Grace,Ephesians 2:1-10
2026-09-16,Wednesday,God's Unlimited Grace,Romans 6:1-14
2026-09-17,Thursday,God's Unlimited Grace,Romans 8:1-11
2026-09-18,Friday,God's Unlimited Grace,2 Timothy 2:1-13
2026-09-19,Saturday,God's Unlimited Grace,John 8:1-11
2026-09-20,Sunday,Good Stewards,Psalm 3
2026-09-21,Monday,Good Stewards,1 Corinthians 4:1-7
2026-09-22,Tuesday,Good Stewards,1 Corinthians 4:8-13
2026-09-23,Wednesday,Good Stewards,1 Thessalonians 1:1-10
2026-09-24,Thursday,Good Stewards,2 Thessalonians 1:1-4
2026-09-25,Friday,Good Stewards,Luke 12:35-40
2026-09-26,Saturday,Good Stewards,Luke 12:41-48
2026-09-27,Sunday,Who Enters God's Kingdom?,Psalm 33
2026-09-28,Monday,Who Enters God's Kingdom?,Matthew 10:40-42
2026-09-29,Tuesday,Who Enters God's Kingdom?,Matthew 12:22-37
2026-09-30,Wednesday,Who Enters God's Kingdom?,Matthew 12:46-50
2026-10-01,Thursday,Who Enters God's Kingdom?,Luke 18:1-8
2026-10-02,Friday,Who Enters God's Kingdom?,Luke 18:9-14
2026-10-03,Saturday,Who Enters God's Kingdom?,Romans 8:31-39
2026-10-04,Sunday,Faithful & Obedient,Psalm 92
2026-10-05,Monday,Faithful & Obedient,Hebrews 11:1-16
2026-10-06,Tuesday,Faithful & Obedient,Acts 8:1-8
2026-10-07,Wednesday,Faithful & Obedient,Acts 11:19-26
2026-10-08,Thursday,Faithful & Obedient,Matthew 21:28-32
2026-10-09,Friday,Faithful & Obedient,Luke 12:35-40
2026-10-10,Saturday,Faithful & Obedient,Luke 12:41-48
2026-10-11,Sunday,All Things Are Possible,Psalm 103
2026-10-12,Monday,All Things Are Possible,Exodus 3:7-22
2026-10-17,Saturday,All Things Are Possible,Hebrews 1:1-14
2026-10-18,Sunday,Servanthood,Psalm 71
2026-10-19,Monday,Servanthood,John 13:1-11
2026-10-20,Tuesday,Servanthood,Romans 15:1-13
2026-10-21,Wednesday,Servanthood,2 Corinthians 6:1-10
2026-10-22,Thursday,Servanthood,2 Corinthians 4:1-13
2026-10-23,Friday,Servanthood,2 Corinthians 7:1-13
2026-10-24,Saturday,Servanthood,Matthew 10:24-39
2026-10-25,Sunday,When Jesus Calls,Psalm 139
2026-10-26,Monday,When Jesus Calls,Luke 7:36-50
2026-10-27,Tuesday,When Jesus Calls,Mark 5:1-20
2026-10-28,Wednesday,When Jesus Calls,Matthew 9:1-12
2026-10-29,Thursday,When Jesus Calls,Acts 9:10-18
2026-10-30,Friday,When Jesus Calls,Luke 6:27-36
2026-10-31,Saturday,When Jesus Calls,"John 9:1-12, 35-41"
2026-11-01,Sunday,True Humanity,Psalm 4
2026-11-02,Monday,True Humanity,Romans 8:1-17
2026-11-03,Tuesday,True Humanity,2 Timothy 1:1-14
2026-11-04,Wednesday,True Humanity,1 Peter 2:21-25
2026-11-05,Thursday,True Humanity,Romans 14:1-21
2026-11-06,Friday,True Humanity,Matthew 6:25-34
2026-11-07,Saturday,True Humanity,Matthew 19:16-29
2026-11-08,Sunday,A Resurrection People,Psalm 90
2026-11-09,Monday,A Resurrection People,John 11:1-16
2026-11-10,Tuesday,A Resurrection People,John 11:17-27
2026-11-11,Wednesday,A Resurrection People,John 11:28-37
2026-11-12,Thursday,A Resurrection People,John 11:38-44
2026-11-13,Friday,A Resurrection People,Acts 17:22-23
2026-11-14,Saturday,A Resurrection People,Romans 6:1-11
2026-11-15,Sunday,Faithful Witness,Psalm 16
2026-11-16,Monday,Faithful Witness,Philippians 1:12-18
2026-11-17,Tuesday,Faithful Witness,Luke 12:1-12
2026-11-18,Wednesday,Faithful Witness,Colossians 4:1-6
2026-11-19,Thursday,Faithful Witness,Matthew 20:1-16
2026-11-20,Friday,Faithful Witness,John 5:30-47
2026-11-21,Saturday,Faithful Witness,Acts 10:34-38
2026-11-22,Sunday,Christ the King,Psalm 47
2026-11-23,Monday,Christ the King,Matthew 16:21-28
2026-11-24,Tuesday,Christ the King,John 6:15-21
2026-11-25,Wednesday,Christ the King,John 1:43-51
2026-11-26,Thursday,Christ the King,Acts 17:1-9
2026-11-27,Friday,Christ the King,1 Corinthians 15:20-28
2026-11-28,Saturday,Christ the King,Revelation 1:1-8
2026-11-29,Sunday,Waiting & Watching,Psalm 97
2026-11-30,Monday,Waiting & Watching,Luke 1:67-80
2026-12-01,Tuesday,Waiting & Watching,Colossians 1:9-23
2026-12-02,Wednesday,Waiting & Watching,Mark 1:1-8
2026-12-03,Thursday,Waiting & Watching,Isaiah 43:1-13
2026-12-04,Friday,Waiting & Watching,Hebrews 10:11-25
2026-12-05,Saturday,Waiting & Watching,Zephaniah 3:14-20
2026-12-06,Sunday,Getting Ready,Psalm 62
2026-12-07,Monday,Getting Ready,Luke 1:5-25
2026-12-08,Tuesday,Getting Ready,Luke 1:57-80
2026-12-09,Wednesday,Getting Ready,Matthew 3:1-12
2026-12-10,Thursday,Getting Ready,Isaiah 62:1-12
2026-12-11,Friday,Getting Ready,Luke 12:35-48
2026-12-12,Saturday,Getting Ready,Isaiah 51:1-8
2026-12-13,Sunday,Good News,Psalm 80
2026-12-14,Monday,Good News,Mark 13:1-13
2026-12-15,Tuesday,Good News,Luke 21:25-36
2026-12-16,Wednesday,Good News,Revelation 1:1-8
2026-12-17,Thursday,Good News,John 1:14-18
2026-12-18,Friday,Good News,Ezekiel 34:11-16
2026-12-19,Saturday,Good News,Acts 1:1-11
2026-12-20,Sunday,When God Comes,Psalm 65
2026-12-21,Monday,When God Comes,James 5:7-18
2026-12-22,Tuesday,When God Comes,Matthew 1:18-25
2026-12-23,Wednesday,When God Comes,Isaiah 40:1-11
2026-12-24,Thursday,When God Comes,Ezekiel 34:17-31
2026-12-25,Friday,When God Comes,Isaiah 9:1-7
2026-12-26,Saturday,When God Comes,Philippians 4:4-9
2026-12-27,Sunday,God's Greatest Gift,Psalm 96
2026-12-28,Monday,God's Greatest Gift,Exodus 20:18-26
2026-12-29,Tuesday,God's Greatest Gift,Galatians 3:23-4:7
2026-12-30,Wednesday,God's Greatest Gift,2 Corinthians 5:16-21
2026-12-31,Thursday,God's Greatest Gift,John 3:1-8
